"Mod01","Mod02","Mod03","Mod04","Mod05","Mod06","c","Mods"
"Dolichospermum.solitarium",0,0,0,0,0,1,0,"Mod06"
"Dolichospermum.spiroides",0,0,0,1,0,0,0.611111111111111,"Mod04"
"Elakatothrix.gelatinosa",1,0,0,0,0,0,0,"Mod01"
"Elakatothrix.genevensis",0,0,0,0,0,1,0.691358024691358,"Mod06"
"Entomoneis.paludosa",1,0,0,0,0,0,0,"Mod01"
"Epipyxis.sp",1,0,0,0,0,0,0.5,"Mod01"
"Eremosphaera.eremosphaeria",0,0,0,1,0,0,0,"Mod04"
"Eudorina.elegans",0,0,0,1,0,0,0,"Mod04"
"Euglena.sp",0,0,0,0,0,1,0,"Mod06"
"Fragilaria.capucina",1,0,0,0,0,0,0.666666666666667,"Mod01"
"Fragilaria.crotonensis",0,1,0,0,0,0,0.693877551020408,"Mod02"
"Fragilariaceae",0,0,0,0,0,1,0.244897959183674,"Mod06"
"Glenodinium.sp",0,0,0,0,0,1,0.444444444444444,"Mod06"
"Gloeocystis.sp",0,0,0,0,0,1,0.699432892249527,"Mod06"
"Gloeotrichia.sp",0,1,0,0,0,0,0,"Mod02"
"Golenkinia.radiata",0,0,0,0,1,0,0,"Mod05"
"Gomphonema.sp",0,0,0,1,0,0,0,"Mod04"
"Gomphosphaeria.aponina",0,0,0,1,0,0,0.444444444444444,"Mod04"
"Gymnodinium.lantzschii",0,0,0,1,0,0,0,"Mod04"
"Gymnodinium.sp",0,0,0,0,1,0,0.722222222222222,"Mod05"
"Katablepharis.ovalis",0,1,0,0,0,0,0.741071428571429,"Mod02"
"Kephyrion.boreale",0,0,0,0,0,1,0,"Mod06"
"Kephyrion.cupuliforme",0,1,0,0,0,0,0,"Mod02"
"Kirchneriella.lunaris",0,0,0,0,1,0,0.5,"Mod05"
"Kirchneriella.obesa",0,0,0,0,0,1,0,"Mod06"
"Korshikoviella.sp",0,0,0,0,1,0,0,"Mod05"
"Lagerheimia.ciliata",1,0,0,0,0,0,0,"Mod01"
"Lagerheimia.quadriseta",0,0,0,0,0,1,0,"Mod06"
"Lagerheimia.subsalsa",0,0,0,0,0,1,0,"Mod06"
"Lanceola.spatulifera",0,1,0,0,0,0,0.648888888888889,"Mod02"
"Lepocinclis.sp",0,0,0,0,0,1,0,"Mod06"
"Limnococcus.limneticus",0,0,0,1,0,0,0.7,"Mod04"
"Limnoraphis.birgei",0,1,0,0,0,0,0.444444444444444,"Mod02"
"Limnothrix.lauterbornii",0,0,0,0,0,1,0.444444444444444,"Mod06"
"Limnothrix.sp",0,0,0,0,0,1,0.763787721123829,"Mod06"
"Lindavia.bodanica",0,0,0,1,0,0,0.66,"Mod04"
"Lindavia.michiganiana",0,1,0,0,0,0,0,"Mod02"
"Mallomonas.caudata",0,0,0,0,0,1,0,"Mod06"
"Mallomonas.pseudocoronata",0,0,0,0,0,1,0,"Mod06"
"Mallomonas.sp",0,0,0,1,0,0,0.78,"Mod04"
"Melosira.varians",1,0,0,0,0,0,0,"Mod01"
"Merismopedia.glauca",0,0,0,0,0,1,0,"Mod06"
"Merismopedia.tenuissima",1,0,0,0,0,0,0.777777777777778,"Mod01"
"Merismopedia.warmingiana",0,0,0,0,0,1,0.444444444444444,"Mod06"
"Messastrum.gracile",0,0,0,0,1,0,0.625,"Mod05"
"Micractinium.pusillum",0,0,0,0,1,0,0,"Mod05"
"Microcystis.aeruginosa",0,1,0,0,0,0,0.569444444444444,"Mod02"
"Microcystis.ichthyoblabe",1,0,0,0,0,0,0.742382271468144,"Mod01"
"Microcystis.wesenbergii",1,0,0,0,0,0,0.5,"Mod01"
"Monoraphidium.circinale",0,0,0,0,1,0,0.5,"Mod05"
"Monoraphidium.contortum",0,0,0,0,0,1,0.71280276816609,"Mod06"
"Monoraphidium.convolutum",0,0,0,0,0,1,0,"Mod06"
"Monoraphidium.dybowskii",0,0,0,0,0,1,0.583333333333333,"Mod06"
"Monoraphidium.griffithii",0,0,0,0,0,1,0,"Mod06"
"Monoraphidium.komarkovae",0,0,0,0,0,1,0.56,"Mod06"
"Monoraphidium.minutum",0,0,0,0,0,1,0.670360110803324,"Mod06"
"Monoraphidium.skujae",0,0,0,0,0,1,0,"Mod06"
"Monosiga.sp",1,0,0,0,0,0,0.5,"Mod01"
"Monosiga.varians",0,1,0,0,0,0,0.702222222222222,"Mod02"
"Mougeotia.sp",1,0,0,0,0,0,0,"Mod01"
"Mucidosphaerium.pulchellum",0,1,0,0,0,0,0,"Mod02"
"Navicula.sp",0,0,0,1,0,0,0.5,"Mod04"
"Neglectella.solitaria",1,0,0,0,0,0,0.761904761904762,"Mod01"
"Nephrocytium.agardhianum",1,0,0,0,0,0,0.75,"Mod01"
"Nephrocytium.lunatum",0,0,0,0,0,1,0,"Mod06"
"Nitzschia.acicularis",0,0,0,0,1,0,0,"Mod05"
"Nitzschia.paleacea",0,0,0,1,0,0,0,"Mod04"
"Nitzschia.sp",0,0,0,0,0,1,0.671280276816609,"Mod06"
"Nodularia.spumigena",1,0,0,0,0,0,0,"Mod01"
"Ochromonas.sp",0,0,0,0,1,0,0.793388429752066,"Mod05"
"Oocystis.apiculata",0,0,0,1,0,0,0,"Mod04"
"Oocystis.borgei",0,0,0,1,0,0,0.755102040816326,"Mod04"
"Oocystis.lacustris",1,0,0,0,0,0,0,"Mod01"
"Oocystis.parva",0,0,0,0,0,1,0.764081632653061,"Mod06"
"Oocystis.pusilla",0,0,0,0,0,1,0.714285714285714,"Mod06"
"Oscillatoria.rosea",0,1,0,0,0,0,0.635,"Mod02"
"Oscillatoria.sancta",0,0,0,1,0,0,0,"Mod04"
"Paraphysomonas.bourrellyi",0,0,0,0,0,1,0,"Mod06"
"Parvodinium.inconspicuum",0,0,0,0,1,0,0.5,"Mod05"
"Pedinella.sp",0,0,1,0,0,0,0,"Mod03"
"Peridinium.sp",0,0,0,0,0,1,0,"Mod06"
"Phormidium.sp",0,1,0,0,0,0,0.444444444444444,"Mod02"
"Plagioselmis.nannoplanctica",0,1,0,0,0,0,0.750723991980397,"Mod02"
"Planktolyngbya.limnetica",0,0,0,0,0,1,0,"Mod06"
"Planktothrix.agardhii",0,0,0,0,0,1,0.628099173553719,"Mod06"
"Pseudanabaena.limnetica",0,0,0,0,0,1,0.46875,"Mod06"
"Pseudanabaena.mucicola",0,1,0,0,0,0,0.571428571428571,"Mod02"
"Pseudokephyrion.attenuatum",0,0,0,0,0,1,0,"Mod06"
"Pseudokephyrion.ellipsoideum",0,0,0,1,0,0,0.666666666666667,"Mod04"
"Pseudopediastrum.boryanum",1,0,0,0,0,0,0.56,"Mod01"
"Pseudoschroederia.antillarum",0,0,0,1,0,0,0,"Mod04"
"Quadrigula.chodatii",0,1,0,0,0,0,0,"Mod02"
"Quadrigula.closterioides",0,0,0,1,0,0,0.5,"Mod04"
"Raphidocelis.danubiana",0,0,0,0,1,0,0,"Mod05"
"Rhabdogloea.smithii",0,0,0,1,0,0,0,"Mod04"
"Rhabdomonas.sp",0,1,0,0,0,0,0,"Mod02"
"Rhodomonas.lens",0,0,0,1,0,0,0.716049382716049,"Mod04"
"Romeria.chlorina",0,1,0,0,0,0,0.375,"Mod02"
"Romeria.leopoliensis",0,1,0,0,0,0,0.625,"Mod02"
"Scenedesmus.bijugus",0,0,0,0,0,1,0.444444444444444,"Mod06"
"Scenedesmus.quadricauda",1,0,0,0,0,0,0.666666666666667,"Mod01"
"Schroederia.setigera",0,1,0,0,0,0,0.5,"Mod02"
"Snowella.arachnoidea",0,0,0,0,0,1,0,"Mod06"
"Snowella.lacustris",1,0,0,0,0,0,0.734567901234568,"Mod01"
"Sphaerocystis.schroeteri",0,0,0,0,0,1,0.74,"Mod06"
"Stauridium.tetras",0,0,0,0,1,0,0.5,"Mod05"
"Stephanodiscaceae",0,0,0,0,0,1,0.726326742976067,"Mod06"
"Stephanodiscus.niagarae",0,1,0,0,0,0,0.625,"Mod02"
"Stephanodiscus.parvus",0,1,0,0,0,0,0.5,"Mod02"
"Stephanodiscus.sp",0,0,0,1,0,0,0.693877551020408,"Mod04"
"Stichogloea.doederleinii",0,0,0,1,0,0,0,"Mod04"
"Stichogloea.globosa",1,0,0,0,0,0,0,"Mod01"
"Surirella.sp",0,0,0,0,0,1,0,"Mod06"
"Synechococcus.sp",0,1,0,0,0,0,0.518518518518519,"Mod02"
"Synechocystis.sp",0,1,0,0,0,0,0.68,"Mod02"
"Synedra.cyclopum",0,0,0,0,1,0,0,"Mod05"
"Synedra.sp",0,0,0,0,0,1,0.5,"Mod06"
"Tabellaria.flocculosa",0,0,0,0,1,0,0.666666666666667,"Mod05"
"Tetradesmus.bernardii",0,0,0,0,0,1,0,"Mod06"
"Tetradesmus.obliquus",0,0,0,0,0,1,0.5625,"Mod06"
"Tetraëdron.caudatum",1,0,0,0,0,0,0,"Mod01"
"Tetraëdron.minimum",0,0,0,0,0,1,0.583333333333333,"Mod06"
"Tetraëdron.minimum.var.tetralobulatum",0,0,1,0,0,0,0.666666666666667,"Mod03"
"Tetraselmis.cordiformis",0,0,0,0,1,0,0.444444444444444,"Mod05"
"Treubaria.triappendiculata",0,0,0,0,1,0,0,"Mod05"
"Ulnaria.ulna",0,0,0,1,0,0,0,"Mod04"
"Uroglena.sp",0,0,0,0,1,0,0.779149519890261,"Mod05"
"Urosolenia.eriensis",0,0,0,0,1,0,0,"Mod05"
"Urosolenia.longiseta",0,0,0,0,0,1,0.32,"Mod06"
"Willea.crucifera",0,0,0,0,0,1,0,"Mod06"
"Willea.rectangularis",0,0,0,0,1,0,0.666666666666667,"Mod05"
"Woloszynskia.ordinata",0,0,0,1,0,0,0.777777777777778,"Mod04"
"Woronichinia.compacta",1,0,0,0,0,0,0.375,"Mod01"
"Woronichinia.naegeliana",0,1,0,0,0,0,0.394463667820069,"Mod02"
